source_dataset,station_id,latitude,longitude,height,topo_free_disturbance,G_ref
IGN,932003,28.461111111111112,-16.249166666666667,48.5142,211.02430176132412,211.23570730237205
IGN,932004,28.46611111111111,-16.247222222222224,48.8657,213.14576870852565,213.35717424957355
IGN,932005,28.47083333333333,-16.246944444444445,52.8712,215.50700093366763,215.71840647471552
IGN,932006,28.47305555555556,-16.247222222222224,52.9948,217.98495847870217,218.1963640197501
IGN,932007,28.47861111111111,-16.24361111111111,52.9789,216.3566218437705,216.5680273848184
IGN,932009,28.476388888888888,-16.24638888888889,55.221,218.0235167567979,218.2349222978458
IGN,932010,28.4775,-16.244722222222222,52.9007,217.6982279578733,217.9096334989212
IGN,932011,28.476388888888888,-16.246111111111112,55.2245,217.9477754398837,218.1591809809316
IGN,932015,28.4775,-16.246111111111112,52.925,217.9794621134638,218.1908676545117
IGN,932016,28.47777777777777,-16.246111111111112,54.2546,217.8185854415341,218.029990982582
IGN,932017,28.47694444444444,-16.246111111111112,47.8717,217.02965201815545,217.2410575592033
IGN,932018,28.5725,-16.24638888888889,47.5992,215.652648715048,215.8640542560959
IGN,933001,28.45611111111111,-16.266944444444444,128.6881,212.03568761064292,212.24709315169085
IGN,933002,28.451666666666664,-16.27138888888889,149.7321,210.36815477138288,210.5795603124308
IGN,933003,28.446944444444444,-16.274444444444445,163.2024,208.9328069485032,209.1442124895511
IGN,934001,28.45027777777777,-16.2775,214.5148,210.630848972385,210.8422545134329
IGN,934002,28.449166666666667,-16.280833333333334,216.6467,213.1866345960545,213.3980401371024
IGN,934003,28.448055555555555,-16.283611111111114,258.7093,211.39808153707395,211.60948707812184
IGN,934004,28.447777777777777,-16.283333333333335,259.5724,210.9573483130406,211.1687538540885
IGN,934005,28.446666666666665,-16.289166666666667,301.7492,211.2923795155351,211.50378505658296
IGN,934006,28.45027777777777,-16.291111111111114,341.8755,214.4448309054482,214.6562364464961
IGN,934007,28.45694444444444,-16.29361111111111,386.0678,215.8271175668916,216.03852310793948
IGN,934008,28.460555555555555,-16.297500000000003,420.1617,217.11615885776504,217.3275643988129
IGN,934009,28.460555555555555,-16.297500000000003,422.9565,217.5584807911203,217.7698863321682
IGN,934010,28.46611111111111,-16.303055555555556,477.0955,220.1984926882768,220.40989822932468
IGN,934011,28.47083333333333,-16.30777777777778,512.1703,223.87693319867444,224.08833873972236
IGN,934012,28.476388888888888,-16.31361111111111,556.6297,227.70537497246755,227.91678051351545
IGN,934013,28.476388888888888,-16.31361111111111,557.2257,227.7666362929901,227.978041834038
IGN,934014,28.479444444444443,-16.316666666666666,579.0859,229.3450890870037,229.5564946280516
IGN,938001,28.31833333333333,-16.411666666666665,353.2501,235.17483283768803,235.38623837873592
IGN,938002,28.32472222222222,-16.410833333333333,384.4738,235.2766724223968,235.4880779634447
IGN,938003,28.33055555555556,-16.413055555555555,415.4142,236.4082154344925,236.6196209755404
IGN,938004,28.335833333333333,-16.415555555555553,464.0655,238.0200974673109,238.2315030083588
IGN,938005,28.342222222222222,-16.416666666666668,486.3775,238.04637337059947,238.25777891164736
IGN,938007,28.34472222222222,-16.41861111111111,510.7095,239.16361882428376,239.37502436533163
IGN,938008,28.348888888888887,-16.418055555555558,552.503,238.421631435777,238.63303697682488
IGN,938009,28.35277777777777,-16.413888888888888,586.5216,236.24238086176848,236.4537864028164
IGN,938010,28.35777777777778,-16.412777777777777,635.9827,235.5035774062923,235.7149829473402
IGN,938011,28.35611111111111,-16.41777777777778,687.6871,237.11450207203004,237.32590761307796
IGN,938013,28.354166666666668,-16.424166666666668,734.1818,239.35348879797857,239.56489433902647
IGN,938014,28.35388888888889,-16.426111111111112,785.6662,239.99956863140204,240.21097417244997
IGN,938015,28.3575,-16.426944444444445,840.054,240.2148009334012,240.42620647444903
